OD,OT,Stage,HRT,TMPmax,Flux,FoulingRate,Temp,COD_in,COD_eff,COD_removal,TAN_in,TAN_eff,TAN_removal
174,174.75,5,2,258.4,3.18,-0.05,23.8,NA,NA,NA,NA,NA,NA
175,175.35,5,2,258,3.51,-0.03,23.8,NA,NA,NA,NA,NA,NA
175,175.81,5,2,257.4,NA,-0.05,23.8,NA,NA,NA,NA,NA,NA
176,176.38,5,2,258.5,3.37,0.08,23.8,NA,NA,NA,NA,NA,NA
176,176.69,5,2,258.7,2.67,0.03,23.6,NA,NA,NA,NA,NA,NA
177,177.35,5,2,258.6,3.32,NA,24,2000,33,0.98,78.24,0.08,1
177,177.36,5,2,258.7,NA,0.5,24,NA,NA,NA,NA,NA,NA
179,179.44,5,2,258.6,2.96,NA,24,1870,113,0.94,110.64,0.05,1
179,179.46,5,2,258.6,NA,0,24,NA,NA,NA,NA,NA,NA
180,180.38,5,2,286,3.22,1.25,24.3,NA,NA,NA,NA,NA,NA
180,180.75,5,2,296.6,3.23,1.18,24.5,NA,NA,NA,NA,NA,NA
181,181.38,5,2,287.2,3.39,-0.63,24.8,NA,NA,NA,NA,NA,NA
181,181.42,5,1.5,391.7,NA,104.5,24.8,NA,NA,NA,NA,NA,NA
181,181.73,5,2,298.5,3.99,NA,24.8,NA,NA,NA,NA,NA,NA
182,182.34,5,2,289,3.03,-0.64,24.8,NA,NA,NA,NA,NA,NA
182,182.75,5,2,392.9,2.98,10.66,24.8,NA,NA,NA,NA,NA,NA
183,183.38,5,2,402.6,3.15,0.65,23,NA,NA,NA,NA,NA,NA
183,183.67,5,2,376.3,NA,-3.76,22.9,NA,NA,NA,NA,NA,NA
184,184.36,5,2,367.7,2.93,-0.51,23.5,1830,93,0.95,70.85,0.04,1
184,184.38,5,2,367.7,NA,0,23.5,NA,NA,NA,NA,NA,NA
186,186.38,5,2,365.6,3.33,-0.04,23.9,NA,NA,NA,NA,NA,NA
186,186.42,5,2,341.2,NA,NA,23.8,NA,NA,NA,NA,NA,NA
187,187.35,6,2,372,3.32,1.37,23.7,NA,NA,NA,NA,NA,NA
187,187.7,6,1.5,364.8,3.31,-0.87,23.6,NA,NA,NA,NA,NA,NA
187,187.71,6,1.5,364.8,NA,0,23.6,NA,NA,NA,NA,NA,NA
188,188.38,6,1.5,389.2,4.77,1.53,24,NA,NA,NA,NA,NA,NA
188,188.46,6,1.5,388.8,NA,-0.2,23.9,NA,NA,NA,NA,NA,NA
188,188.71,6,1.5,383.7,4.55,-0.85,23.8,NA,NA,NA,NA,NA,NA
189,189.42,6,1.5,409.3,3.96,1.51,23.6,NA,NA,NA,NA,NA,NA
189,189.71,6,1.5,402.3,3.64,-1,23.5,NA,NA,NA,NA,NA,NA
190,190.35,6,1.5,423.6,3.64,1.37,23.6,NA,NA,NA,NA,NA,NA
190,190.67,6,1.5,387.3,NA,NA,23.2,NA,NA,NA,NA,NA,NA
191,191.79,6,1.5,385.2,3.81,-0.08,23,1720,124,0.93,79.75,0.04,1
191,191.81,6,1.5,385.2,NA,0,23,NA,NA,NA,NA,NA,NA
193,193.33,6,1.5,449.8,3.84,1.77,22.8,1670,83.5,0.95,93.85,0.87,0.99
193,193.79,6,1.5,434.3,NA,NA,22.9,NA,NA,NA,NA,NA,NA
194,194.33,6,1.5,486.8,4.42,4.04,23,NA,NA,NA,NA,NA,NA
194,194.71,6,1.5,501.1,3.84,1.59,23,NA,NA,NA,NA,NA,NA
195,195.38,6,1.5,461.4,3.98,-2.48,22.6,NA,NA,NA,NA,NA,NA
195,195.7,6,1.5,408.6,NA,NA,22.5,NA,NA,NA,NA,NA,NA
196,196.38,6,1.5,741.3,4.21,20.47,22.8,NA,NA,NA,NA,NA,NA
196,196.71,6,1.5,475.2,3.1,,22.9,NA,NA,NA,NA,NA,NA
